case,expert_ranking,proxy,student_index,spearman,kendall,n_items
strict,1-4-7-6,log_time_scaleSM,5,0.6,0.5000000000000001,4
strict,1-4-7-6,log_time_scaleSM,6,0.8999999999999999,0.8333333333333335,4
strict,1-4-7-6,log_time_scaleST,0,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,log_time_scaleST,1,0.6,0.5000000000000001,4
strict,1-4-7-6,log_time_scaleST,2,0.3,0.1666666666666667,4
strict,1-4-7-6,log_time_scaleST,3,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,log_time_scaleST,4,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,log_time_scaleST,5,0.6,0.5000000000000001,4
strict,1-4-7-6,log_time_scaleST,6,-0.19999999999999998,0.0,4
strict,1-4-7-6,time_correct_function,0,0.0,0.0,4
strict,1-4-7-6,time_correct_function,1,-1.0,-1.0,4
strict,1-4-7-6,time_correct_function,2,1.0,1.0,4
strict,1-4-7-6,time_correct_function,3,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,time_correct_function,4,0.5,0.33333333333333337,3
strict,1-4-7-6,time_correct_function,5,0.5,0.33333333333333337,3
strict,1-4-7-6,time_correct_function,6,0.9999999999999999,1.0,2
strict,1-4-7-6,time_correct_output,0,1.0,1.0,4
strict,1-4-7-6,time_correct_output,1,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,time_correct_output,2,0.5,0.33333333333333337,3
strict,1-4-7-6,time_correct_output,3,1.0,1.0,3
strict,1-4-7-6,time_correct_output,4,1.0,1.0,3
strict,1-4-7-6,time_correct_output,5,0.9999999999999999,1.0,2
strict,1-4-7-6,time_correct_output,6,0.9999999999999999,1.0,2
strict,1-4-7-6,time_correct_syntaxBL,0,0.6,0.5000000000000001,4
strict,1-4-7-6,time_correct_syntaxBL,1,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,time_correct_syntaxBL,2,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,time_correct_syntaxBL,3,0.0,0.0,4
strict,1-4-7-6,time_correct_syntaxBL,4,-0.19999999999999998,-0.1666666666666667,4
strict,1-4-7-6,time_correct_syntaxBL,5,0.75,0.6666666666666667,3
strict,1-4-7-6,time_correct_syntaxBL,6,0.5,0.33333333333333337,3
strict,1-4-7-6,log_time_correct_function,0,0.0,0.0,4
strict,1-4-7-6,log_time_correct_function,1,-1.0,-1.0,4
strict,1-4-7-6,log_time_correct_function,2,1.0,1.0,4
strict,1-4-7-6,log_time_correct_function,3,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,log_time_correct_function,4,0.5,0.33333333333333337,3
strict,1-4-7-6,log_time_correct_function,5,0.5,0.33333333333333337,3
strict,1-4-7-6,log_time_correct_function,6,0.9999999999999999,1.0,2
strict,1-4-7-6,log_time_correct_output,0,1.0,1.0,4
strict,1-4-7-6,log_time_correct_output,1,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,log_time_correct_output,2,0.5,0.33333333333333337,3
strict,1-4-7-6,log_time_correct_output,3,1.0,1.0,3
strict,1-4-7-6,log_time_correct_output,4,1.0,1.0,3
strict,1-4-7-6,log_time_correct_output,5,0.9999999999999999,1.0,2
strict,1-4-7-6,log_time_correct_output,6,0.9999999999999999,1.0,2
strict,1-4-7-6,log_time_correct_syntaxBL,0,0.6,0.5000000000000001,4
strict,1-4-7-6,log_time_correct_syntaxBL,1,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,log_time_correct_syntaxBL,2,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,log_time_correct_syntaxBL,3,0.0,0.0,4
strict,1-4-7-6,log_time_correct_syntaxBL,4,-0.19999999999999998,-0.1666666666666667,4
strict,1-4-7-6,log_time_correct_syntaxBL,5,0.75,0.6666666666666667,3
strict,1-4-7-6,log_time_correct_syntaxBL,6,0.5,0.33333333333333337,3
strict,1-4-7-6,acc_function,0,0.3,0.1666666666666667,4
strict,1-4-7-6,acc_function,1,-0.19999999999999998,-0.1666666666666667,4
strict,1-4-7-6,acc_function,2,-0.8999999999999999,-0.8333333333333335,4
strict,1-4-7-6,acc_function,3,0.19999999999999998,0.0,4
strict,1-4-7-6,acc_function,4,-0.6,-0.5000000000000001,4
strict,1-4-7-6,acc_function,5,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,acc_function,6,-0.19999999999999998,-0.1666666666666667,4
strict,1-4-7-6,acc_output,0,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,acc_output,1,0.0,0.0,4
strict,1-4-7-6,acc_output,2,0.6,0.5000000000000001,4
strict,1-4-7-6,acc_output,3,0.6,0.5000000000000001,4
strict,1-4-7-6,acc_output,4,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,acc_output,5,0.6,0.5000000000000001,4
strict,1-4-7-6,acc_output,6,0.0,0.0,4
strict,1-4-7-6,acc_syntaxBL,0,0.0,0.0,4
strict,1-4-7-6,acc_syntaxBL,1,0.0,0.0,4
strict,1-4-7-6,acc_syntaxBL,2,0.0,0.0,4
strict,1-4-7-6,acc_syntaxBL,3,0.0,0.0,4
strict,1-4-7-6,acc_syntaxBL,4,0.0,0.0,4
strict,1-4-7-6,acc_syntaxBL,5,0.20000000000000004,0.1666666666666667,4
strict,1-4-7-6,acc_syntaxBL,6,0.20000000000000004,0.1666666666666667,4
strict,1-4-7-6,scaleSM,0,0.39999999999999997,0.3333333333333334,4
strict,1-4-7-6,scaleSM,1,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleSM,2,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleSM,3,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleSM,4,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,scaleSM,5,0.7,0.5000000000000001,4
strict,1-4-7-6,scaleSM,6,0.8999999999999999,0.8333333333333335,4
strict,1-4-7-6,scaleST,0,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleST,1,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleST,2,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleST,3,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleST,4,0.6,0.5000000000000001,4
strict,1-4-7-6,scaleST,5,0.7999999999999999,0.6666666666666669,4
strict,1-4-7-6,scaleST,6,0.0,0.0,4
strict,1-5-7-6,readTime,0,1.0,1.0,4
strict,1-5-7-6,readTime,1,0.19999999999999998,0.0,4
strict,1-5-7-6,readTime,2,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,readTime,3,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,readTime,4,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,readTime,5,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,readTime,6,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,log_readTime,0,1.0,1.0,4
strict,1-5-7-6,log_readTime,1,0.19999999999999998,0.0,4
strict,1-5-7-6,log_readTime,2,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,log_readTime,3,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,log_readTime,4,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,log_readTime,5,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,log_readTime,6,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_function,0,0.0,0.0,4
strict,1-5-7-6,time_function,1,-0.19999999999999998,0.0,4
strict,1-5-7-6,time_function,2,-0.39999999999999997,-0.3333333333333334,4
strict,1-5-7-6,time_function,3,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_function,4,-0.19999999999999998,0.0,4
strict,1-5-7-6,time_function,5,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_function,6,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_output,0,0.19999999999999998,0.0,4
strict,1-5-7-6,time_output,1,0.8999999999999999,0.8333333333333335,4
strict,1-5-7-6,time_output,2,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_output,3,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_output,4,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_output,5,1.0,1.0,4
strict,1-5-7-6,time_output,6,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_syntaxBL,0,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_syntaxBL,1,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_syntaxBL,2,0.19999999999999998,0.0,4
strict,1-5-7-6,time_syntaxBL,3,0.0,0.0,4
strict,1-5-7-6,time_syntaxBL,4,-0.19999999999999998,-0.1666666666666667,4
strict,1-5-7-6,time_syntaxBL,5,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_syntaxBL,6,0.19999999999999998,0.0,4
strict,1-5-7-6,time_scaleSM,0,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_scaleSM,1,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_scaleSM,2,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_scaleSM,3,0.19999999999999998,0.1666666666666667,4
strict,1-5-7-6,time_scaleSM,4,-0.19999999999999998,-0.1666666666666667,4
strict,1-5-7-6,time_scaleSM,5,0.6,0.5000000000000001,4
strict,1-5-7-6,time_scaleSM,6,0.8999999999999999,0.8333333333333335,4
strict,1-5-7-6,time_scaleST,0,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_scaleST,1,0.6,0.5000000000000001,4
strict,1-5-7-6,time_scaleST,2,0.3,0.1666666666666667,4
strict,1-5-7-6,time_scaleST,3,0.39999999999999997,0.3333333333333334,4
strict,1-5-7-6,time_scaleST,4,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,time_scaleST,5,0.6,0.5000000000000001,4
strict,1-5-7-6,time_scaleST,6,-0.3,-0.1666666666666667,4
strict,1-5-7-6,log_time_function,0,0.0,0.0,4
strict,1-5-7-6,log_time_function,1,-0.19999999999999998,0.0,4
strict,1-5-7-6,log_time_function,2,-0.39999999999999997,-0.3333333333333334,4
strict,1-5-7-6,log_time_function,3,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,log_time_function,4,-0.19999999999999998,0.0,4
strict,1-5-7-6,log_time_function,5,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,log_time_function,6,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,log_time_output,0,0.19999999999999998,0.0,4
strict,1-5-7-6,log_time_output,1,0.8999999999999999,0.8333333333333335,4
strict,1-5-7-6,log_time_output,2,0.7999999999999999,0.6666666666666669,4
strict,1-5-7-6,log_time_output,3,0.7999999999999999,0.6666666666666669,4
